>>> Measurement Start! Pattern: 1,,,,,,
ResultLog: Time(s), Pattern, CompX(deg), CompY(deg), Vst_y(m/s), Vsy(m/s), Vsx(m/s)
0.077,1,4.02,0.82,0.3,0.055,0
0.181,1,5.89,1.34,0.3,0.087,0
0.286,1,6.63,1.64,0.3,0.115,0
0.39,1,9.85,1.71,0.3,0.139,0
0.495,1,14.88,1.62,0.3,0.16,0
0.6,1,11.96,2.5,0.3,0.178,0
0.704,1,8.69,1.53,0.3,0.193,0
0.809,1,5.66,0.32,0.3,0.207,0
0.913,1,1.76,3.11,0.3,0.219,0
1.017,1,-2.54,4.67,0.3,0.231,-0.002
1.122,1,-5.95,1.93,0.3,0.24,0
1.226,1,-0.04,2.85,0.3,0.247,0
1.331,1,1.05,-1.36,0.3,0.255,0
1.435,1,1.9,-1.32,0.3,0.261,0
1.539,1,5.17,-1.2,0.3,0.266,-0.016
1.644,1,4.06,1.92,0.3,0.271,0
1.748,1,10.39,2.57,0.3,0.274,-0.014
1.853,1,7.64,4.49,0.3,0.277,-0.002
1.957,1,2.58,3.92,0.3,0.28,0
2.061,1,2.83,3.89,0.3,0.282,-0.017
2.166,1,-0.57,0.42,0.3,0.284,0
2.27,1,1.41,0.65,0.3,0.287,-0.018
2.375,1,-3.8,0.56,0.3,0.289,0
2.479,1,2.03,1.04,0.3,0.291,0
2.584,1,3,4.52,0.3,0.292,0
2.688,1,6.06,1.86,0.3,0.293,0
2.792,1,4.33,3.73,0.3,0.293,-0.017
2.897,1,3.59,2.14,0.3,0.294,-0.015
3.002,1,6.52,4.77,0.3,0.294,0
3.106,1,8.03,0.72,0.3,0.293,0.001
3.211,1,-0.8,5.74,0.3,0.296,-0.001
3.315,1,-1.79,-3.33,0.3,0.298,-0.001
3.419,1,-0.57,-6.3,0.3,0.298,0
3.524,1,-0.35,-4.18,0.3,0.299,0
3.628,1,3.25,-3.46,0.3,0.299,0
3.733,1,9.5,-2.36,0.3,0.297,0.001
3.837,1,-0.01,6.17,0.3,0.297,0.031
3.942,1,-5.23,6.27,0.3,0.298,0.028
4.046,1,-6.18,8.32,0.3,0.3,0.014
4.151,1,3.49,6.47,0.3,0.3,-0.001
4.255,1,6.7,0.5,0.3,0.3,-0.002
4.359,1,4.15,2.84,0.3,0.296,0.017
4.464,1,7.55,1.63,0.3,0.298,0.035
4.568,1,1.3,-6.05,0.3,0.298,0.04
4.672,1,-4.4,-6.07,0.3,0.301,0
4.777,1,4.65,-5.2,0.3,0.301,0
4.881,1,10.91,-5.76,0.3,0.3,0.001
4.986,1,13.58,-4.01,0.3,0.3,0.001
5.09,1,16.96,0.77,0.3,0.299,0.001
5.194,1,13.02,3.33,0.3,0.298,0
5.299,1,3.22,2.18,0.3,0.298,-0.017
5.403,1,-1.76,2.05,0.3,0.299,-0.021
5.508,1,-7.79,6.32,0.3,0.299,-0.018
5.612,1,-5.01,8.29,0.3,0.299,-0.017
5.717,1,-6.53,-0.65,0.3,0.301,-0.015
5.822,1,-7.47,-0.35,0.3,0.302,-0.001
5.926,1,4.75,0.19,0.3,0.302,-0.001
6.031,1,8.65,-2.45,0.3,0.301,0
6.135,1,10.64,-5.63,0.3,0.301,0
6.24,1,12.01,-4.71,0.3,0.299,0.001
6.344,1,10.7,-0.03,0.3,0.298,0
6.449,1,10.03,-1.37,0.3,0.298,0.001
6.553,1,1.26,-0.27,0.3,0.298,0
6.658,1,0.59,0.01,0.3,0.299,0
6.762,1,-5.36,1.21,0.3,0.3,0
6.867,1,-5.09,-0.56,0.3,0.3,-0.015
6.971,1,-5.28,-3.87,0.3,0.301,0
7.076,1,-2.41,0.27,0.3,0.302,0
7.18,1,4.61,-2.64,0.3,0.302,0.001
